"time","zeta_TOT[1]","zeta_TOT[2]","zeta_TOT[3]","rho","input_mdot[1]","input_mdot[2]","input_mdot[3]","input_dp[1]","input_dp[2]","input_dp[3]","M_FLOW[1]","M_FLOW[2]","M_FLOW[3]","DP[1]","DP[2]","DP[3]","DP_plot[1]","DP_plot[2]","DP_plot[3]","input_DP.y"
0.0068,0.01,0.1,1,1.2,0.824758723972799,0.260811608784816,0.0824758723972799,45.9476,45.9476,45.9476,0.824758723972799,0.260811608784816,0.0824758723972799,45.9476,45.9476,45.9476,45.9476,45.9476,45.9476,45.9476
0.0069,0.01,0.1,1,1.2,0.830800993204729,0.262722342085702,0.0830800993204729,46.6233,46.6233,46.6233,0.830800993204729,0.262722342085702,0.0830800993204729,46.6233,46.6233,46.6233,46.6233,46.6233,46.6233,46.6233
0.007,0.01,0.1,1,1.2,0.836799634231928,0.26461927893687,0.0836799634231928,47.299,47.299,47.299,0.836799634231928,0.26461927893687,0.0836799634231928,47.299,47.299,47.299,47.299,47.299,47.299,47.299
0.0071,0.01,0.1,1,1.2,0.842755578677123,0.266502713943294,0.0842755578677123,47.9747,47.9747,47.9747,0.842755578677123,0.266502713943294,0.0842755578677123,47.9747,47.9747,47.9747,47.9747,47.9747,47.9747,47.9747
0.0072,0.01,0.1,1,1.2,0.848669725471656,0.268372931372025,0.0848669725471656,48.6504,48.6504,48.6504,0.848669725471656,0.268372931372025,0.0848669725471656,48.6504,48.6504,48.6504,48.6504,48.6504,48.6504,48.6504
0.0073,0.01,0.1,1,1.2,0.854542942439326,0.270230205653043,0.0854542942439326,49.3261,49.3261,49.3261,0.854542942439326,0.270230205653043,0.0854542942439326,49.3261,49.3261,49.3261,49.3261,49.3261,49.3261,49.3261
0.0074,0.01,0.1,1,1.2,0.860376067782911,0.272074801849342,0.0860376067782911,50.0018,50.0018,50.0018,0.860376067782911,0.272074801849342,0.0860376067782911,50.0018,50.0018,50.0018,50.0018,50.0018,50.0018,50.0018
0.0075,0.01,0.1,1,1.2,0.866169911480599,0.273906976098512,0.0866169911480599,50.6775,50.6775,50.6775,0.866169911480599,0.273906976098512,0.0866169911480599,50.6775,50.6775,50.6775,50.6775,50.6775,50.6775,50.6775
0.0076,0.01,0.1,1,1.2,0.871925256598886,0.275726976027924,0.0871925256598886,51.3532,51.3532,51.3532,0.871925256598886,0.275726976027924,0.0871925256598886,51.3532,51.3532,51.3532,51.3532,51.3532,51.3532,51.3532
0.0077,0.01,0.1,1,1.2,0.877642860527992,0.277535041145394,0.0877642860527992,52.0289,52.0289,52.0289,0.877642860527992,0.277535041145394,0.0877642860527992,52.0289,52.0289,52.0289,52.0289,52.0289,52.0289,52.0289
0.0078,0.01,0.1,1,1.2,0.883323456145302,0.279331403207101,0.0883323456145302,52.7046,52.7046,52.7046,0.883323456145302,0.279331403207101,0.0883323456145302,52.7046,52.7046,52.7046,52.7046,52.7046,52.7046,52.7046
0.0079,0.01,0.1,1,1.2,0.888967752911885,0.281116286564334,0.0888967752911885,53.3803,53.3803,53.3803,0.888967752911885,0.281116286564334,0.0888967752911884,53.3803,53.3803,53.3803,53.3803,53.3803,53.3803,53.3803
0.008,0.01,0.1,1,1.2,0.89457643790675,0.282889908490552,0.089457643790675,54.056,54.056,54.056,0.89457643790675,0.282889908490552,0.089457643790675,54.056,54.056,54.056,54.056,54.056,54.056,54.056
0.0081,0.01,0.1,1,1.2,0.900150176803101,0.284652479490106,0.0900150176803101,54.7317,54.7317,54.7317,0.900150176803101,0.284652479490106,0.0900150176803101,54.7317,54.7317,54.7317,54.7317,54.7317,54.7317,54.7317
0.0082,0.01,0.1,1,1.2,0.905689614790507,0.286404203589853,0.0905689614790507,55.4074,55.4074,55.4074,0.905689614790507,0.286404203589853,0.0905689614790507,55.4074,55.4074,55.4074,55.4074,55.4074,55.4074,55.4074
0.0083,0.01,0.1,1,1.2,0.911195377446627,0.288145278614816,0.0911195377446627,56.0831,56.0831,56.0831,0.911195377446627,0.288145278614816,0.0911195377446627,56.0831,56.0831,56.0831,56.0831,56.0831,56.0831,56.0831
0.0084,0.01,0.1,1,1.2,0.916668071561798,0.28987589644895,0.0916668071561798,56.7588,56.7588,56.7588,0.916668071561798,0.28987589644895,0.0916668071561798,56.7588,56.7588,56.7588,56.7588,56.7588,56.7588,56.7588
0.0085,0.01,0.1,1,1.2,0.922108285919582,0.291596243281965,0.0922108285919582,57.4345,57.4345,57.4345,0.922108285919582,0.291596243281965,0.0922108285919582,57.4345,57.4345,57.4345,57.4345,57.4345,57.4345,57.4345
0.0086,0.01,0.1,1,1.2,0.927516592036107,0.293306499843129,0.0927516592036107,58.1102,58.1102,58.1102,0.927516592036107,0.293306499843129,0.0927516592036107,58.1102,58.1102,58.1102,58.1102,58.1102,58.1102,58.1102
0.0087,0.01,0.1,1,1.2,0.932893544860826,0.295006841622868,0.0932893544860826,58.7859,58.7859,58.7859,0.932893544860826,0.295006841622868,0.0932893544860826,58.7859,58.7859,58.7859,58.7859,58.7859,58.7859,58.7859
0.0088,0.01,0.1,1,1.2,0.938239683441136,0.296697439082936,0.0938239683441136,59.4616,59.4616,59.4616,0.938239683441136,0.296697439082936,0.0938239683441136,59.4616,59.4616,59.4616,59.4616,59.4616,59.4616,59.4616
0.0089,0.01,0.1,1,1.2,0.943555531553097,0.298378457855866,0.0943555531553096,60.1373,60.1373,60.1373,0.943555531553097,0.298378457855866,0.0943555531553096,60.1373,60.1373,60.1373,60.1373,60.1373,60.1373,60.1373
0.009,0.01,0.1,1,1.2,0.948841598300354,0.300050058934367,0.0948841598300354,60.813,60.813,60.813,0.948841598300354,0.300050058934367,0.0948841598300354,60.813,60.813,60.813,60.813,60.813,60.813,60.813
0.0091,0.01,0.1,1,1.2,0.954098378683192,0.301712398851273,0.0954098378683192,61.4887,61.4887,61.4887,0.954098378683192,0.301712398851273,0.0954098378683192,61.4887,61.4887,61.4887,61.4887,61.4887,61.4887,61.4887
