"time","T","eta","lambda","eta_der","lambda_der","eta2","lambda2","eta2_der","lambda2_der"
0.855066,2594.1848,8.55291645108142e-05,0.13630089287898,7.35479458907431e-05,0.117677669161262,7.56418733700895e-05,0.127175950985491,5.29651362025422e-05,0.0960489495795597
0.855268,2594.7504,8.55440211958841e-05,0.136324663768151,7.35479458907431e-05,0.117677669161262,7.5652571917958e-05,0.127195352047467,5.29610805164128e-05,0.0960407734436285
0.85547,2595.316,8.5558877880954e-05,0.136348434657322,7.35479458907431e-05,0.117677669161262,7.56632696466986e-05,0.127214751458159,5.29570260247302e-05,0.0960326002322656
0.855672,2595.8816,8.5573734566024e-05,0.136372205546492,7.35479458907431e-05,0.117677669161262,7.56739665565524e-05,0.127234149218158,5.29529727268823e-05,0.0960244299439159
0.855874,2596.4472,8.55885912510939e-05,0.136395976435663,7.35479458907431e-05,0.117677669161262,7.56846626477606e-05,0.127253545328053,5.29489206222576e-05,0.0960162625770259
0.856076,2597.0128,8.56034479361638e-05,0.136419747324833,7.35479458907431e-05,0.117677669161262,7.56953579205641e-05,0.127272939788435,5.29448697102446e-05,0.0960080981300424
0.856278,2597.5784,8.56183046212338e-05,0.136443518214004,7.35479458907431e-05,0.117677669161262,7.57060523752038e-05,0.127292332599894,5.29408199902327e-05,0.0959999366014134
0.85648,2598.144,8.56331613063037e-05,0.136467289103174,7.35479458907431e-05,0.117677669161262,7.57167460119204e-05,0.127311723763019,5.29367714616116e-05,0.0959917779895878
0.856682,2598.7096,8.56480179913736e-05,0.136491059992345,7.35479458907431e-05,0.117677669161262,7.57274388309545e-05,0.127331113278398,5.29327241237714e-05,0.0959836222930155
0.856884,2599.2752,8.56628746764435e-05,0.136514830881516,7.35479458907431e-05,0.117677669161262,7.57381308325466e-05,0.127350501146621,5.29286779761026e-05,0.0959754695101471
0.857086,2599.8408,8.56777313615135e-05,0.136538601770686,7.35479458907431e-05,0.117677669161262,7.57488220169369e-05,0.127369887368276,5.29246330179963e-05,0.0959673196394344
0.857288,2600.4064,8.56925880465834e-05,0.136562372659857,7.35479458907431e-05,0.117677669161262,7.57595123843659e-05,0.127389271943952,5.29205892488439e-05,0.0959591726793299
0.85749,2600.972,8.57074447316533e-05,0.136586143549027,7.35479458907431e-05,0.117677669161262,7.57702019350735e-05,0.127408654874235,5.29165466680374e-05,0.0959510286282873
0.857692,2601.5376,8.57223014167233e-05,0.136609914438198,7.35479458907431e-05,0.117677669161262,7.57808906692997e-05,0.127428036159713,5.29125052749691e-05,0.0959428874847609
0.857894,2602.1032,8.57371581017932e-05,0.136633685327368,7.35479458907431e-05,0.117677669161262,7.57915785872845e-05,0.127447415800974,5.29084650690317e-05,0.0959347492472062
0.858096,2602.6688,8.57520147868631e-05,0.136657456216539,7.35479458907431e-05,0.117677669161262,7.58022656892675e-05,0.127466793798605,5.29044260496186e-05,0.0959266139140793
0.858298,2603.2344,8.57668714719331e-05,0.13668122710571,7.35479458907431e-05,0.117677669161262,7.58129519754884e-05,0.127486170153191,5.29003882161233e-05,0.0959184814838376
0.8585,2603.8,8.5781728157003e-05,0.13670499799488,7.35479458907431e-05,0.117677669161262,7.58236374461866e-05,0.127505544865319,5.28963515679401e-05,0.0959103519549392
0.858702,2604.3656,8.57965848420729e-05,0.136728768884051,7.35479458907431e-05,0.117677669161262,7.58343221016016e-05,0.127524917935576,5.28923161044634e-05,0.0959022253258431
0.858904,2604.9312,8.58114415271428e-05,0.136752539773221,7.35479458907431e-05,0.117677669161262,7.58450059419726e-05,0.127544289364546,5.28882818250883e-05,0.0958941015950096
0.859106,2605.4968,8.58262982122128e-05,0.136776310662392,7.35479458907431e-05,0.117677669161262,7.58556889675386e-05,0.127563659152815,5.28842487292102e-05,0.0958859807608991
0.859308,2606.0624,8.58411548972827e-05,0.136800081551563,7.35479458907431e-05,0.117677669161262,7.58663711785388e-05,0.127583027300969,5.2880216816225e-05,0.095877862821974
0.85951,2606.628,8.58560115823526e-05,0.136823852440733,7.35479458907431e-05,0.117677669161262,7.5877052575212e-05,0.12760239380959,5.2876186085529e-05,0.0958697477766965
0.859712,2607.1936,8.58708682674226e-05,0.136847623329904,7.35479458907431e-05,0.117677669161262,7.58877331577969e-05,0.127621758679265,5.2872156536519e-05,0.0958616356235307
0.859914,2607.7592,8.58857249524925e-05,0.136871394219074,7.35479458907431e-05,0.117677669161262,7.58984129265323e-05,0.127641121910577,5.28681281685922e-05,0.095853526360941
0.860116,2608.3248,8.59005816375624e-05,0.136895165108245,7.35479458907431e-05,0.117677669161262,7.59090918816565e-05,0.127660483504109,5.28641009811462e-05,0.0958454199873929
0.860318,2608.8904,8.59154383226324e-05,0.136918935997415,7.35479458907431e-05,0.117677669161262,7.59197700234081e-05,0.127679843460446,5.28600749735791e-05,0.095837316501353
0.86052,2609.456,8.59302950077023e-05,0.136942706886586,7.35479458907431e-05,0.117677669161262,7.59304473520253e-05,0.12769920178017,5.28560501452894e-05,0.0958292159012887
0.860722,2610.0216,8.59451516927722e-05,0.136966477775757,7.35479458907431e-05,0.117677669161262,7.59411238677462e-05,0.127718558463865,5.2852026495676e-05,0.095821118185668
