"Time","harmonic.y_arg","potentialSensor.phi[3]","potentialSensor.phi[1]","filter[1].x[1]","harmonic.mean1.x","toPolar.y[1]","toPolar.y[2]","filter[2].x[1]","harmonic.mean2.x","filter[2].x[2]","integrator.y","harmonic.y_rms","potentialSensor.phi[2]","filter[1].x[2]"
0.0405,0,-1.2247449,1.2247449,0.46135688,0.062743992,1.0370795,-0.0047514518,-0.03288953,0.016793037,-0.0049276147,0.50893801,0,-1.2247449,1.0370678
0.041000001,0,-1.2247449,1.2247449,0.46605155,0.063498922,1.0342826,-0.0049050539,-0.036633149,0.017217377,-0.0050731911,0.51522118,0,-1.2247449,1.03427
0.041499998,0,-1.2247449,1.2247449,0.47069862,0.064251155,1.0315219,-0.0050764023,-0.040401969,0.017646445,-0.005236398,0.5215044,0,-1.2247449,1.0315087
0.041999999,0,-1.2247449,1.2247449,0.47529808,0.065000676,1.0287975,-0.0052656536,-0.044195745,0.018080225,-0.0054172659,0.52778757,0,-1.2247449,1.0287832
0.0425,0,-1.2247449,1.2247449,0.47984987,0.065747462,1.0261089,-0.005472945,-0.048014361,0.018518716,-0.0056158095,0.53407073,0,-1.2247449,1.0260935
0.042590685,0,-1.2247449,1.2247449,0.48067033,0.065882608,1.0256251,-0.0055124839,-0.048709586,0.018598747,-0.0056537129,0.53521031,0,-1.2247449,1.0256095
0.042590685,0,-1.2247449,1.2247449,0.48067033,0.065882608,1.0256251,-0.0055124839,-0.048709586,0.018598747,-0.0056537129,0.53521031,0,1.2247449,1.0256095
0.043000001,0,-1.2247449,1.2247449,0.48444656,0.0664915,1.023456,-0.0056856791,-0.045332611,0.018961897,-0.005819011,0.54035395,0,1.2247449,1.0234394
0.043499999,0,-1.2247449,1.2247449,0.489061,0.067232728,1.0208384,-0.0058794641,-0.041265558,0.01940974,-0.0060019479,0.54663712,0,1.2247449,1.0208207
0.044,0,-1.2247449,1.2247449,0.49367681,0.06797111,1.0182559,-0.0060540014,-0.037262201,0.019862225,-0.0061644856,0.55292028,0,1.2247449,1.0182372
0.044500001,0,-1.2247449,1.2247449,0.49829382,0.068706639,1.0157086,-0.0062093954,-0.033322431,0.020319337,-0.0063068955,0.55920351,0,1.2247449,1.0156889
0.04499945,0,-1.2247449,1.2247449,0.5029068,0.06943848,1.0131987,-0.0063456167,-0.029450355,0.020780558,-0.0064293277,0.56547982,0,1.2247449,1.0131783
