"time","cDC1.v","cDC2.v","supplyL.inductor[2].i","supplyL.inductor[3].i"
0.033835,112.26175613327,112.26175613327,153.677961167201,0.000665885277897851
0.03384,112.282564911162,112.282564911162,154.11134491011,0.000672466183417868
0.033845,112.303579279651,112.303579279652,154.542158219651,0.000679045429694653
0.03385,112.324797843323,112.324797843323,154.970375942033,0.000685623000494643
0.033855,112.346219194721,112.346219194721,155.395972998163,0.00069219887958839
0.03386,112.367841914381,112.367841914381,155.818924384342,0.000698773050750652
0.033865,112.38966457086,112.38966457086,156.239205172954,0.00070534549776041
0.03387,112.411685720768,112.411685720768,156.656790513163,0.000711916204400881
0.033875,112.433903909916,112.433903909916,157.071655626117,0.000718485154459566
0.03388,112.456317762912,112.456317762912,157.483775364358,0.000725052331724705
0.033885,112.478925731338,112.478925731338,157.893125453368,0.000731617719995322
0.03389,112.501726327237,112.501726327237,158.29968134207,0.00073818130307197
0.033895,112.524718051052,112.524718051052,158.70341855869,0.000744743064759688
0.0339,112.54789939167,112.54789939167,159.104312711429,0.000751302988868002
0.033905,112.57126882645,112.57126882645,159.502339489124,0.000757861059210983
0.03391,112.594824821267,112.594824821267,159.897474661917,0.000764417259607254
0.033915,112.618565830547,112.618565830547,160.289694081923,0.000770971573880081
0.03392,112.642490297301,112.642490297302,160.678973683897,0.00077752398585739
0.033925,112.666596653169,112.666596653169,161.065289485896,0.000784074479371775
0.03393,112.690883318448,112.690883318448,161.448617589952,0.000790623038260598
0.033935,112.715348702135,112.715348702135,161.828934182736,0.00079716964636599
0.03394,112.739991201964,112.739991201965,162.206215536223,0.000803714287534908
0.033945,112.764809204441,112.764809204441,162.58043800836,0.000810256945619141
0.03395,112.789801084879,112.789801084879,162.951578043736,0.000816797604475406
0.033955,112.814965207441,112.814965207441,163.319612174244,0.000823336247965357
0.03396,112.840299956178,112.840299956178,163.684516827959,0.0008298728599544
0.033965,112.865803707458,112.865803707458,164.0462685006,0.000836407424312858
0.03397,112.891474749952,112.891474749952,164.404844251324,0.000842939924919071
0.033975,112.917311406375,112.917311406375,164.760220950601,0.000849470345654746
0.03398,112.943311988658,112.943311988658,165.112375558415,0.000855998670406693
0.033985,112.969474797986,112.969474797986,165.461285124898,0.000862524883066926
0.03399,112.995798124842,112.995798124842,165.806926790971,0.00086904896753266
0.033995,113.02228024905,113.02228024905,166.149277788971,0.000875570907706374
0.034,113.048919439812,113.048919439812,166.488315443293,0.000882090687495814
0.034005,113.075713955758,113.075713955758,166.82401717102,0.000888608290814083
0.03401,113.102662044981,113.102662044981,167.156360482563,0.000895123701579661
0.034015,113.129761945084,113.129761945084,167.485322982293,0.000901636903716412
0.03402,113.157011883218,113.157011883218,167.810882369175,0.000908147881153682
0.034025,113.184410076128,113.184410076128,168.133016437409,0.0009146566178263
