"time","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i"
0.05295,84.1327548951579,154.659419801537
0.053,87.6904401602784,151.711855094542
0.05305,91.226489158126,148.726857852513
0.0531,94.7400293506756,145.705164403385
0.05315,98.2301938481067,142.647520359844
0.0532,101.696121542671,139.55468023267
0.05325,105.136957251229,136.427407100648
0.0533,108.55185194534,133.266472463483
0.05335,111.939963111688,130.07265634825
0.0534,115.300454815814,126.846746833322
0.05345,118.632497789232,123.589539673392
0.0535,121.935269976095,120.301838654366
0.05355,125.20795651048,116.984455027047
0.0536,128.449749824024,113.6382071974
0.05365,131.659850054866,110.263920802802
0.0537,134.837465222651,106.862428476067
0.05375,137.981811293848,103.434569480433
0.0538,141.092112347372,99.9811894763765
0.05385,144.167601052998,96.50314062911
0.0539,147.207518637162,93.0012811490724
0.05395,150.211114871102,89.4764749066329
0.054,153.177648765956,85.9295916879914
0.05405,156.106388428055,82.36150667617
0.0541,158.996611158352,78.7731001847344
0.05415,161.847603800869,75.1652575698197
0.0542,164.658663007405,71.5388690779486
0.05425,167.429095208658,67.8948294780931
0.0543,170.158216687439,64.2340377842611
0.05435,172.845354191688,60.5573973135529
0.0544,175.48984478507,56.8658152614862
0.05445,178.091035784632,53.1602023703326
0.0545,180.648285476888,49.4414729901295
0.05455,183.16096297251,45.7105446944329
0.0546,185.628448248136,41.9683380105527
0.05465,188.050132401552,38.2157762350461
0.0547,190.425418037547,34.4537853020996
0.05475,192.75371913545,30.6832934420805
0.0548,195.034461011703,26.9052308994902
0.05485,197.267081070004,23.1205298984323
0.0549,199.451028526967,19.3301242777356
0.05495,201.585764348539,15.5349492209608
0.055,203.670761863445,11.7359411397307
0.05505,205.70550673087,7.93403740243343
0.0551,207.689496877922,4.13017606752784
0.05515,209.622242641513,0.32529565688028
0.0552,211.503267290046,-3.47966501139329
0.05525,213.332106785219,-7.28376711235545
0.0553,215.108309625167,-11.0860720654397
0.05535,216.831437721493,-14.8856416952853
0.0554,218.501066004567,-18.6815385117284
