"time","SourceP1.ports[1].m_flow","SourceP1.ports[1].p","SourceP1.ports[1].h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","SinkP1.ports[1].m_flow","SinkP1.ports[1].p","SinkP1.ports[1].h_outflow","Opening.y","downstreamPressure.y"
0.119584,-0.191982083948723,1000000,3264385.32408016,-0.191982083948723,686392.289489228,3264385.32408016,1,0.191982083948723,686392.289489228,3269357.3191591,1,686392.289489228
0.119786,-0.192072072598351,1000000,3264385.32408016,-0.192072072598351,685767.16299662,3264385.32408016,1,0.192072072598351,685767.16299662,3269367.1864983,1,685767.16299662
0.119988,-0.192161689528479,1000000,3264385.32408016,-0.192161689528479,685141.898343651,3264385.32408016,1,0.192161689528479,685141.898343651,3269377.05584691,1,685141.898343651
0.12019,-0.192250935202564,1000000,3264385.32408016,-0.192250935202564,684516.496537544,3264385.32408016,1,0.192250935202564,684516.496537544,3269386.92718893,1,684516.496537544
0.120392,-0.192339810083635,1000000,3264385.32408016,-0.192339810083635,683890.958585745,3264385.32408016,1,0.192339810083635,683890.958585745,3269396.80050837,1,683890.958585745
0.120594,-0.192428314634305,1000000,3264385.32408016,-0.192428314634305,683265.285495919,3264385.32408016,1,0.192428314634305,683265.285495919,3269406.67578922,1,683265.285495919
0.120796,-0.192516449316773,1000000,3264385.32408016,-0.192516449316773,682639.478275948,3264385.32408016,1,0.192516449316773,682639.478275948,3269416.55301546,1,682639.478275948
0.120998,-0.192604214592832,1000000,3264385.32408016,-0.192604214592832,682013.537933932,3264385.32408016,1,0.192604214592832,682013.537933932,3269426.4321711,1,682013.537933932
0.1212,-0.192691610923878,1000000,3264385.32408016,-0.192691610923878,681387.465478182,3264385.32408016,1,0.192691610923878,681387.465478182,3269436.31324012,1,681387.465478182
0.121402,-0.192778638770914,1000000,3264385.32408016,-0.192778638770914,680761.261917225,3264385.32408016,1,0.192778638770914,680761.261917225,3269446.1962065,1,680761.261917225
0.121604,-0.192865298594561,1000000,3264385.32408016,-0.192865298594561,680134.928259797,3264385.32408016,1,0.192865298594561,680134.928259797,3269456.08105423,1,680134.928259797
0.121806,-0.192951590855059,1000000,3264385.32408016,-0.192951590855059,679508.465514847,3264385.32408016,1,0.192951590855059,679508.465514847,3269465.96776729,1,679508.465514847
0.122008,-0.193037516012278,1000000,3264385.32408016,-0.193037516012278,678881.874691526,3264385.32408016,1,0.193037516012278,678881.874691526,3269475.85632966,1,678881.874691526
0.12221,-0.193123074525723,1000000,3264385.32408016,-0.193123074525723,678255.156799198,3264385.32408016,1,0.193123074525723,678255.156799198,3269485.74672531,1,678255.156799198
0.122412,-0.193208266854542,1000000,3264385.32408016,-0.193208266854542,677628.312847426,3264385.32408016,1,0.193208266854542,677628.312847426,3269495.63893823,1,677628.312847426
0.122614,-0.193293093457528,1000000,3264385.32408016,-0.193293093457528,677001.343845981,3264385.32408016,1,0.193293093457528,677001.343845981,3269505.53295238,1,677001.343845981
0.122816,-0.193377554793131,1000000,3264385.32408016,-0.193377554793131,676374.250804831,3264385.32408016,1,0.193377554793131,676374.250804831,3269515.42875173,1,676374.250804831
0.123018,-0.193461651319463,1000000,3264385.32408016,-0.193461651319463,675747.034734147,3264385.32408016,1,0.193461651319463,675747.034734147,3269525.32632025,1,675747.034734147
0.12322,-0.193545383494299,1000000,3264385.32408016,-0.193545383494299,675119.696644296,3264385.32408016,1,0.193545383494299,675119.696644296,3269535.22564192,1,675119.696644296
